"#""Bin Edge short", Bin Edge long, Bin center," Bin width"""
2.8627040,2.8829814,2.8728427,0.0101387
2.8829814,2.9032589,2.8931201,0.0101387
2.9032589,2.9235363,2.9133976,0.0101387
2.9235363,2.9438137,2.9336750,0.0101387
2.9438137,2.9640911,2.9539524,0.0101387
2.9640911,2.9843686,2.9742299,0.0101387
2.9843686,3.0046460,2.9945073,0.0101387
3.0046460,3.0249234,3.0147847,0.0101387
3.0249234,3.0452009,3.0350621,0.0101387
3.0452009,3.0654783,3.0553396,0.0101387
3.0654783,3.0857557,3.0756170,0.0101387
3.0857557,3.1060331,3.0958944,0.0101387
3.1060331,3.1263106,3.1161719,0.0101387
3.1263106,3.1465880,3.1364493,0.0101387
3.1465880,3.1668654,3.1567267,0.0101387
3.1668654,3.1871429,3.1770041,0.0101387
3.1871429,3.2074203,3.1972816,0.0101387
3.2074203,3.2276977,3.2175590,0.0101387
3.2276977,3.2479751,3.2378364,0.0101387
3.2479751,3.2682526,3.2581139,0.0101387
3.2682526,3.2885300,3.2783913,0.0101387
3.2885300,3.3088074,3.2986687,0.0101387
3.3088074,3.3290849,3.3189461,0.0101387
3.3290849,3.3493623,3.3392236,0.0101387
3.3493623,3.3696397,3.3595010,0.0101387
3.3696397,3.3899171,3.3797784,0.0101387
3.3899171,3.4101946,3.4000559,0.0101387
3.4101946,3.4304720,3.4203333,0.0101387
3.4304720,3.4507494,3.4406107,0.0101387
3.4507494,3.4710269,3.4608881,0.0101387
3.4710269,3.4913043,3.4811656,0.0101387
3.4913043,3.5115817,3.5014430,0.0101387
3.5115817,3.5318591,3.5217204,0.0101387
3.5318591,3.5521366,3.5419979,0.0101387
3.5521366,3.5724140,3.5622753,0.0101387
3.5724140,3.5926914,3.5825527,0.0101387
3.5926914,3.6129689,3.6028301,0.0101387
3.6129689,3.6332463,3.6231076,0.0101387
3.6332463,3.6535237,3.6433850,0.0101387
3.6535237,3.6738011,3.6636624,0.0101387
3.6738011,3.6940786,3.6839399,0.0101387
3.6940786,3.7143560,3.7042173,0.0101387
3.8199180,3.8396456,3.8297818,0.0098638
3.8396456,3.8593732,3.8495094,0.0098638
3.8593732,3.8791008,3.8692370,0.0098638
3.8791008,3.8988284,3.8889646,0.0098638
3.8988284,3.9185560,3.9086922,0.0098638
3.9185560,3.9382837,3.9284199,0.0098638
3.9382837,3.9580113,3.9481475,0.0098638
3.9580113,3.9777389,3.9678751,0.0098638
3.9777389,3.9974665,3.9876027,0.0098638
3.9974665,4.0171941,4.0073303,0.0098638
4.0171941,4.0369217,4.0270579,0.0098638
4.0369217,4.0566493,4.0467855,0.0098638
4.0566493,4.0763769,4.0665131,0.0098638
4.0763769,4.0961045,4.0862407,0.0098638
4.0961045,4.1158321,4.1059683,0.0098638
4.1158321,4.1355597,4.1256959,0.0098638
4.1355597,4.1552874,4.1454236,0.0098638
4.1552874,4.1750150,4.1651512,0.0098638
4.1750150,4.1947426,4.1848788,0.0098638
4.1947426,4.2144702,4.2046064,0.0098638
4.2144702,4.2341978,4.2243340,0.0098638
4.2341978,4.2539254,4.2440616,0.0098638
4.2539254,4.2736530,4.2637892,0.0098638
4.2736530,4.2933806,4.2835168,0.0098638
4.2933806,4.3131082,4.3032444,0.0098638
4.3131082,4.3328358,4.3229720,0.0098638
4.3328358,4.3525635,4.3426996,0.0098638
4.3525635,4.3722911,4.3624273,0.0098638
4.3722911,4.3920187,4.3821549,0.0098638
4.3920187,4.4117463,4.4018825,0.0098638
4.4117463,4.4314739,4.4216101,0.0098638
4.4314739,4.4512015,4.4413377,0.0098638
4.4512015,4.4709291,4.4610653,0.0098638
4.4709291,4.4906567,4.4807929,0.0098638
4.4906567,4.5103843,4.5005205,0.0098638
4.5103843,4.5301119,4.5202481,0.0098638
4.5301119,4.5498395,4.5399757,0.0098638
4.5498395,4.5695672,4.5597034,0.0098638
4.5695672,4.5892948,4.5794310,0.0098638
4.5892948,4.6090224,4.5991586,0.0098638
4.6090224,4.6287500,4.6188862,0.0098638
4.6287500,4.6484776,4.6386138,0.0098638
4.6484776,4.6682052,4.6583414,0.0098638
4.6682052,4.6879328,4.6780690,0.0098638
4.6879328,4.7076604,4.6977966,0.0098638
4.7076604,4.7273880,4.7175242,0.0098638
4.7273880,4.7471156,4.7372518,0.0098638
4.7471156,4.7668432,4.7569794,0.0098638
4.7668432,4.7865709,4.7767071,0.0098638
4.7865709,4.8062985,4.7964347,0.0098638
4.8062985,4.8260261,4.8161623,0.0098638
4.8260261,4.8457537,4.8358899,0.0098638
4.8457537,4.8654813,4.8556175,0.0098638
4.8654813,4.8852089,4.8753451,0.0098638
4.8852089,4.9049365,4.8950727,0.0098638
4.9049365,4.9246641,4.9148003,0.0098638
4.9246641,4.9443917,4.9345279,0.0098638
4.9443917,4.9641193,4.9542555,0.0098638
4.9641193,4.9838470,4.9739831,0.0098638
4.9838470,5.0035746,4.9937108,0.0098638
5.0035746,5.0233022,5.0134384,0.0098638
5.0233022,5.0430298,5.0331660,0.0098638
5.0430298,5.0627574,5.0528936,0.0098638
5.0627574,5.0824850,5.0726212,0.0098638
